Original	Translation(Generated)
colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. 	Chi non sa ancora amare il prossimo come se stesso comincia a temere i giudici di Dio.
'Santo Agostino fece u· libro ch''avea nome "Agostino Della Città di Dio".'	Santo Augustino ha fatto un libro che si chiamava "Agostino della Città di Dio".
'quello che sopra tutti gli altri perdonasse a'' cittadini, e a cui più sicuramente possiate credere; poi ch''egli fu vostro comandatore.'	quello che prima di tutti gli altri perdonava ai cittadini, a cui sicuramente potete credere; poi egli fu il vostro comandante.
'Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l''aira divenne nuvolosa e pioveginosa'	'Allora, mentre la nave si impiccava e si mise in alto per andare a destra per me questo trappola pericoloso, l''ira divenne nuvolosa e pioveggiante'
'Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de'' Greci.'	Tarentini, che erano nati da quei di Lacedemonia e di lacrime nobile cittadino greco.
'E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d''andartene in alcuna terra ed usare questa vita fuggendo per li diserti'	E poiché queste cose sono così, Catellina, e tu non puoi abitare qui bene, dubita di andare in nessun paese e usa questa vita per rifugiarti
quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo	quando nella matricola si scrivono, giurano per Dio e per Cristo e per lo Spirito Santo
'I vendimenti de'' morti et le presure de'' vivi fece la frode d''uno feroce re.'	Le vendite di morte e la presunzione di vivere ha fatto la frode di un feroce re.
Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,	In quale battaglia, certo, ho sempre arso di ragionare la pace e mi fa sempre male che non solo la pace era schiacciata,
Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.	Ma che chi spera di ciò che eziano questi che non vogliono ancora credere in Cristo, vede già con noi, e perché non possono negare, stridono colli denti.
'Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d''ogni male afflitto e tormentato della impietà verso il mio padre.'	'Attacco a questi, che ora per le sue grandi ricchezze è feroce e onorevole, egli di ogni male afflitto e tormentato dall''empietà verso mio padre.'
'Questi due, volendo contra la voglia del senato dimorare ne l''ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.'	'Questi due, volti contro la volontà del senato di dimorare nell''ufficio del tribunato, furono morti dalla gente, incoraggiando i genitori scritti.'
'colui del quale tu tti solevi dolere ch'' era amante della tua donna;'	'colui di cui tu hai fatto il solitario, che era l''amante di tua moglie'
'uno luogo si mandano lancioni;  la quale cosa i cavalieri l'' appellano capo di porco'	un luogo si manda lanciatori; i cavalieri lo chiamano capo di porco
Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi	Non voglio che tu innalzi per il santo proposito e voti della verginità, vedendo le sue lodi
Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.	Un altro amante chiamato merzé alla moglie dice parole e molte ragioni, e lei si difende nel suo dire.
'et nonn ebbe in fastido Cristo cotali parole d''udire.'	e il nonno ebbe in disprezzo Cristo parole di udire.
'e l'' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e ''l proximo, a ffare cittadi, castella e magioni'	'e il parcheggio di fare grandi cose, cioè di mantenere la pace e l''amore dell''Iddio e'' il prossimo, a fare città, castello e magioni'
'da'' monti de'' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de'' Romani;'	i monti dei Romani si sono fatti nuovi nemici; contro i quali è combattuto con diversa avventura: perche in essa la prima battaglia, essendo consolato Valerio, MMMD morì da Romani;
'in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l''Auttore di quello fusse lo Spirito santo.'	'invano si chiede chi questo Libro scrivesse, con questo che fedelmente si deve credere che l''Autor di questo fosse lo Spirito Santo.'
'Il re entrò in uno giardino dietro al suo albergo, quasi come s''egli andasse pensando alla risposta.'	Il re entrò in un giardino dietro al suo albergo, quasi come se stesse pensando alla risposta.
notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta	notevole esempio a chiunque si guardasse a fare e a pensare alla tradizione, il servo, che gli era accusato, fu liberato e fu dato a lui grande quantità di moneta
molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;	Molto più ricorderanno il re, che nella nostra città fu sempre santo e glorioso il nome reale, e i seguaci furono il loro santo nome.
Teseo reguardò Achelao fortemente meravigliandose e disse così: "O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste	Teseo si rivolse ad Achelao, che si meravigliò e disse: «O Messer Achelao, vi prego, ditemi come avete perso voi
'ne salìo in su l''argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.'	'Salì sull''argilla del fosso, e sopra il tetto, se da alto potessero difendersi, o per nessun modo passare oltre e scampare.'
'Creti?  Certo quand''elli si mosse, elli ti dixe: "O fedele mia donna, fa'' che in mio luogo ti sia racomandato il nostro hoste troiano".'	Certo, quando si muoveva, lui ti disse: "O fedele mia moglie, fa che il nostro ospite troiano ti venga raccomandato al mio posto".
'Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all''aquila'	'Ed ecco subito tutta questa folla d''uccelli si alzò a volo dietro l''aquila'
'Andò nel campo de'' Cartaginesi e tutta la legione trasse seco.'	'E'' andato nel campo della Cartaginesi e tutta la lezione si e'' seccata.'
sì convene che lli desse grande avere perché · lasciasse andare via.	'E'' giusto che gli dica di avere il dovere di lasciarlo andare.'
'Non d'' altra forza d'' animo fue ornato Ponzio Aufidiano, romano cavaliere.'	'Non di un'' altra forza di animo fu ornato Ponzio Aufidiano, romano cavaliere.'
Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?	'Io gli ho aperto e quelli sono fuggiti, e cosa c''è bisogno che il tuo cuore sia chiuso al tuo sposo Cristo?'
'Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch''egli à.'	Alchuno è ricco e gentile, ma si lamenta di voler avere una moglie diversa da quella che ha.
'Vero è, ma non tine rispondo in questo tempo, perciò che ttu se'' mio servo, o perciò ch'' è tempo feriato, o perciò ch'' io non debbo risponderti'	Vero, ma non ti rispondo in questo tempo, perché tu sia il mio servo, o che sia il tempo della festa, o che io non debba rispondere a te
Or ecco quanto per la sua superbia questo uccello volava in alto.	Ora questo uccello volava in alto per la sua orgoglio.
'Corbio nipote d'' Ortensio menò sua vita più bassa e più viziosa'	Corbio nipote di Ortensio ha mantenuto la sua vita più bassa e più visiva
Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.	Vede anche le ragioni del volo degli uccisi e di tutte le cose sa rendere vero giudizio.
Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive	Quando i serpenti invecchiavano un giorno nessun romano, allora la meraviglia si sforzava di vedere come i Psille combattevano nel veleno, che essi ingoiavano tutto il loro sale
Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.	Gregorio. Non ho mai sentito che aveva un insegnante; ma il dono dello Spirito Santo non può essere vincolato alla legge.
'la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l''ardire rendere altrui matto.'	la seconda terra talvolta per la grande provenienza fare paura, e la prima per farla pazza ad altri.
Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.	Ulecois, ebbi un uomo ricco e nobile: Orgente fu chiamato per nome.
una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa	una villa chiamata Vitermina, con questo fu quello che più grandi principi di scherni correvano per avventura in quel tempo a vederlo, Scipione, stimando che venissero per rafforzarlo, fece rinchiudere la casa
'la moltitudine de'' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.'	la moltitudine di cui hai potuto vedere e riguardare lo studio e poco prima di sentire le voci, le cui mani e lancia sono appena in grado di ritenere.
'A Milano fue ripressa la malvagità d'' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: '	A Milano fu respinta la malvagità di una donna in questa menzogna, nel tempo stesso di questo signore della Repubblica, in questo modo:
'cose ch''io sapeva che erano fatte in Italia.'	le cose che sapevo che erano state fatte in Italia.
Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!	Ricordo (c. 347) che, essendo arrabbiato, fuggii mia moglie.
'Alexandri, ciò è il genero e ''l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.'	'Alexandri, questo è il genero e'' il figliolo, da Phausonia, gentile yovane della Macedonia, seduto in un luogo stretto di guardia, fu ucciso.'
'E lamentavansi dell''iniquità d''Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.'	'E si lamentavano dell''iniquità di Appio, e ripianavano la cattiva beltà della bottiglia e la necessità del padre.'
crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.	crudele, e di tutte le colpe pilli vendette, come dice la legge, e a un cavaliere che perdona che pecchi.
tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.	Tende le reti a cerchirli e sa bene in quale valle rimanga il furioso maiale succo.
'contra lui e contra le sue sorelle  e contra il reame e contra l'' alto pregio della sua ingenerazione e della sua familia'	'contro di lui e contro le sue sorelle e contro il regno e contro l''alto prezzo della sua ingegneria e della sua famiglia'
Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.	'Non voleva conoscerlo per nulla. Questa è quella che diede al profeta Natan l''incarico di riprendere con grande autorità il re, che aveva peccato.'
e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.	e, che è anche più grave, cioè essere preso, o davvero fuggire, e la sua Comune lasciare vincere.
tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.	tratta la natura delle cose incorporali che non parlano tra le loro corpi, sì come Dio e le cose divini.
Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.	Verbigrazia: I mercanti florentini passavano in nave per saltare.
'sia in mezzo tra me e te: con noi non puo'' tu già più lungamente dimorare, ch''io non lo sofferrò e non lo lascerò.'	sia tra me e te: non puoi più abitare con noi, che io non lo sopporterò e non lo abbandonerò.
noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.	'noi scacciati e separati per debito della citta'', e tutti scacciati dalla fama e dalla buona avventura.'
Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo	Ma io disgusto dove non posso andare con il corpo, con la mente vi voglio
'l'' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.'	'l'' anima cambia la sua forza per la proprietà del corpo a cui si unisce.'
'pregaste gli dei per me; e'' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.'	Pregate gli dei per me; le vostre preghiere valgono: e se chiedete chi ha avuto questa battaglia, io non sono stato vinto da lui.
e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.	E questa cosa, che è retta e onesta, e con forza, la sola penso che sia la cosa giusta.
'Gorgone, e ho questa proprietà che io volo per l''aire sì come uno ucello".'	'Gorgone, e ho questa proprietà che voglio per l''aria sì come un uccello".'
'quella guerra ben fatta l'' opera perché etc. Et dall'' altra parte Aiaces era uno cavaliere franco e prode all'' arme, di gran guisa, ma non era pieno di grande senno'	'Questa guerra ben fatto perché ecc. E dall''altra parte Aiaces era un cavaliere franco e prode all''arma, di grande guida, ma non era pieno di grande senno'
'L''oro verrà dall''Aquilone. Che figuriamo noi per l''Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia'	'L''oro verrà dall''Aquilone, che noi figuriamo per l''Aquilone, se non il popolo Gentili congelato dal freddo del peccato, che il popolo teneva sotto il giogo della sua tirannia'
'che sarebbe a llui cosa sconcia se ll''avesse commesso sì che lla colpa del servo e ''l gastigamento di Platone avesse meritato egualmente.'	'che sarebbe stato al suo posto se l''avesse fatto sì che la colpa del servo e'' il gastimento di Platone avrebbe meritato la stessa cosa.'
'Et se l'' occhio è nobile membro del corpo dell'' uomo, dunque la salutazione è nobile parte della pistola, c'' altressì allumina tutta la lettera come l'' occhio allumina l'' uomo.'	'E se l'' occhio è nobile membro del corpo dell'' uomo, quindi il saluto è nobile parte della pistola, c''è un altro illuminato tutta la lettera come l'' occhio illumina l'' uomo.'
Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.	Ma non sapevano già i nomi di coloro della sua congiurazione, perché la donna non li aveva già nominati.
'Marco Cornelio ch''era de'' dieci compagni, studiosamente  si riservò di parlare all''ultimo.'	'Marco Cornelio, che era di dieci compagni, si riservò studiosamente di parlare all''ultimo.'
'Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l''ordine a lloro deputato'	'Dove i poeti, parlando di lacrime, dicono le loro potenze e dicono favolosamente i loro difetti, quando nessuno passava l''ordine a piangere'
Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.	Sapete davvero che se non ci fossimo presi in fretta dal fuggire, saremmo tutti morti.
'L''ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.'	'L''uccello, poi che ha impiccato le ali, non scappa al sicuro, né il maiale selvatico esce bene dalle reti dove cade.'
Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.	Ora ti spaventerai disidirosi cervi con varie e diverse paure, o il porco scintillare cade sulla terra passato collo spiedo.
'sanza fallo lo porco salvatico avanza l'' uomo d'' udire e ''l lupo cerviere del vedere'	'senza fallire il maiale salvataggio avanza l'' uomo di sentire e ''il lupo bicchiere di vedere'
però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia	ma che, nobile cosa e alta è abbattuta la nuda, ma non è meno lodabile sapere avere la missione
'pregollo che lo liberasse di quella obbligazione, in che egli l'' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.'	'Ti prego di liberarlo da quell''obbligo, in cui egli l''aveva lasciato impiccato. L''uomo gentile se ne andò e lo liberò e ne fece una carta.'
mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere	'mostra al massimo le sue forze, dandolo re a questa città in cui è nato servo; al quale è venuto molto tempo per mantenere l''impero'
Unde ragionevolemente Iob è interpretato dolente;	dove ragionevolmente Giobbe è interpretato male;
Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro	Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretta o in culo o altro
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare	Ecco, le ventipliche scendono dalle nebbie risolte; e potresti credere che tutto il cielo fosse caduto nel mare
'se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l''umano spirito al divino, ed il mutabile allo incommutabile'	'se non fosse usata, questo sarebbe certamente molto più incredibile: certo più facilmente si può credere quello, dove l''umanità spirito al divino, e il mutabile all''incommutabile'
'Ma l'' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista'	'Ma l'' occhio dell''intelligenza è più alto, quindi, oltre la grandezza dell''università, quella medesima forma vede nella sottile vista'
'che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de'' cavalieri che veniano di Cecilia in Toscana'	che prendessero il pagamento dal compagno per la loro dispensa e istante, andarono alla presenza di Messer il papa per controversare il passaggio dei cavalieri che venivano da Cecilia a Toscana
Gli uomini spessamente a stare fermi nella bugia incontra la verità.	Gli uomini che si fermano nella menzogna incontrano la verità.
'Se questo piace a tutti e se ''l tempo hae bisogno d''avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.'	'Se questo piace a tutti e se ''il tempo ha bisogno di avere Pompeo per cavaliere e non per compagno, non ritirerò più i fati.'
'l''armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.'	'l''armatura e con loro passano tra loro, percio'' se qualcuno non avesse arrabbiato di questo e sì avevano questo animo.'
'Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d''abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui'	Tarco crepì che era in aiuto agli distrutti avrebbe potuto fuggire, ma la vergogna di abbandonare i nobili cavalieri della gente appena avanti di lui
i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette	'i giovani, ai quali si compie la difesa delle province e l''avventura di tutta la battaglia'
'per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l''anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande'	'E quando l''anima di Pompeo ebe sentì la chiarezza di lassù, lei si conosceva prima in grande'
'Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d''animo buono'	Spero, in Messia di Gesù, di mandare a voi Timoteo tosto, perché io sia di buon cuore
ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.	Ma anche questo fu colpa tua, ma volevi cercare di vedere con gli occhi corporei la cosa invisibile.
'per necessitade i'' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]'	per bisogno di ridicolo ke, secondo il tuo comando, Padre Santo Agostino, le battaglie già state nel mondo [..]
'sono due già non in una carne, ma in uno spirito, cioè Iddio, e l'' anima. Onde in altro luogo dice S. Paolo: Chi s'' accosta a Dio è uno spirito'	'sono già due non in una carne, ma in uno spirito, cioè Dio, e l''anima. Dove altro dice S. Paolo: Chi si avvicina a Dio è uno spirito'
'Sicchè dolore è a udire, quando l'' usare l'' arme e la fatica ricusano, con grandissimo disonore come pecore essere'	'Perché il dolore è ascoltare, quando l'' uso delle armi e del fatica rifiutano, con grande disonore come pecore essere'
Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia	Pietro, mostrandogli in figura il popolo Gentili, gli fu detto: Uccidete e mangiate
Dio, per la quale si dispensano et iudicano tutte le cose.	Dio, per la quale si dispensano e giudicano tutte le cose.
udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene	udire belle nove e profumare belle fiori, come e quando e quanto è giusto
Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.	'L''ufficio di quest''arte sembra essere dire appostamente per far credere, la fine è far credere per dirlo.'
Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.	Quando avrai nel cavaliere i segni di questi segni visti non vanno a grandezza a cadere, perché nelle battaglie sono più utili i forti che i grandi.
